,U1_GVposition,U1_ActivePower,Maris_level,Magat_level,Tailrace_level
0,95.5652,82.4647,106.239,186.453,106.708
1,95.5652,83.0728,106.239,186.453,106.708
2,97.8933,83.0728,106.239,186.453,106.708
3,97.8933,84.0789,106.239,186.453,106.708
4,100.069,84.0789,106.239,186.453,106.708
5,100.069,84.926,106.239,186.453,106.708
6,100.183,84.926,106.239,186.453,106.708
7,100.183,87.1183,106.239,186.453,106.708
8,100.183,87.5913,106.239,186.453,106.708
9,100.183,87.6989,106.239,186.453,106.708
10,100.183,87.7362,106.239,186.453,106.708
11,100.183,87.7558,106.239,186.453,106.708
12,100.183,87.743,106.239,186.453,106.708
13,100.183,87.9138,106.239,186.453,106.708
14,100.183,87.8609,106.239,186.453,106.708
15,100.183,87.7511,106.239,186.453,106.708
16,100.183,87.8226,106.239,186.453,106.708
17,100.183,87.9339,106.239,186.453,106.708
18,100.183,87.8265,106.239,186.453,106.708
19,100.183,87.6666,106.239,186.453,106.708
20,100.183,87.6261,106.239,186.453,106.708
21,100.183,87.7738,106.239,186.453,106.708
22,100.183,87.6771,106.239,186.453,106.708
23,100.183,87.8323,106.239,186.453,106.708
24,100.183,88.0851,106.239,186.453,106.708
25,100.183,87.7948,106.239,186.453,106.708
26,100.183,87.8457,106.239,186.453,106.708
27,100.183,87.5843,106.239,186.453,106.708
28,100.183,87.6819,106.239,186.453,106.708
29,100.183,87.9865,106.239,186.453,106.708
30,100.183,87.8428,106.239,186.453,106.708
31,100.183,88.2302,106.239,186.453,106.708
32,100.183,87.9028,106.239,186.453,106.708
33,100.183,87.818,106.239,186.453,106.708
34,100.183,88.2024,106.239,186.453,106.708
35,100.183,87.7028,106.239,186.453,106.708
36,100.183,87.7686,106.239,186.453,106.708
37,99.4581,87.7686,106.239,186.453,106.708
38,99.4581,88.5824,106.239,186.453,106.708
39,97.0918,88.5824,106.239,186.453,106.708
40,97.0918,89.0745,106.239,186.453,106.708
41,95.756,82.4277,106.364,186.453,106.835
42,98.0459,82.4277,106.364,186.453,106.835
43,98.0459,83.5105,106.364,186.453,106.835
44,99.3054,84.095,106.364,186.453,106.835
45,100.183,84.095,106.364,186.453,106.835
