net_head,unit_capability
56.3,51.55
56.31,51.56
56.32,51.58
56.33,51.59
56.34,51.61
56.35,51.63
56.36,51.64
56.37,51.66
56.38,51.67
56.39,51.69
56.4,51.71
56.41,51.72
56.42,51.74
56.43,51.75
56.44,51.77
56.45,51.78
56.46,51.8
56.47,51.82
56.48,51.83
56.49,51.85
56.5,51.86
56.51,51.88
56.52,51.9
56.53,51.91
56.54,51.93
56.55,51.94
56.56,51.96
56.57,51.97
56.58,51.99
56.59,52.01
56.6,52.02
56.61,52.04
56.62,52.05
56.63,52.07
56.64,52.08
56.65,52.1
56.66,52.12
56.67,52.13
56.68,52.15
56.69,52.16
56.7,52.18
56.71,52.2
56.72,52.21
56.73,52.23
56.74,52.24
56.75,52.26
56.76,52.27
56.77,52.29
56.78,52.31
56.79,52.32
56.8,52.34
56.81,52.35
56.82,52.37
56.83,52.38
56.84,52.4
56.85,52.42
56.86,52.43
56.87,52.45
56.88,52.46
56.89,52.48
56.9,52.5
56.91,52.51
56.92,52.53
56.93,52.54
56.94,52.56
56.95,52.57
56.96,52.59
56.97,52.61
56.98,52.62
56.99,52.64
57,52.65
57.01,52.67
57.02,52.69
57.03,52.7
57.04,52.72
57.05,52.73
57.06,52.75
57.07,52.76
57.08,52.78
57.09,52.8
57.1,52.81
57.11,52.83
57.12,52.84
57.13,52.86
57.14,52.87
57.15,52.89
57.16,52.91
57.17,52.92
57.18,52.94
57.19,52.95
57.2,52.97
57.21,52.99
57.22,53
57.23,53.02
57.24,53.03
57.25,53.05
57.26,53.06
57.27,53.08
57.28,53.1
57.29,53.11
57.3,53.13
57.31,53.14
57.32,53.16
57.33,53.17
57.34,53.19
57.35,53.21
57.36,53.22
57.37,53.24
57.38,53.25
57.39,53.27
57.4,53.29
57.41,53.3
57.42,53.32
57.43,53.33
57.44,53.35
57.45,53.36
57.46,53.38
57.47,53.4
57.48,53.41
57.49,53.43
57.5,53.44
57.51,53.46
57.52,53.48
57.53,53.49
57.54,53.51
57.55,53.52
57.56,53.54
57.57,53.55
57.58,53.57
57.59,53.59
57.6,53.6
57.61,53.62
57.62,53.63
57.63,53.65
57.64,53.66
57.65,53.68
57.66,53.7
57.67,53.71
57.68,53.73
57.69,53.74
57.7,53.76
57.71,53.78
57.72,53.79
57.73,53.81
57.74,53.82
57.75,53.84
57.76,53.85
57.77,53.87
57.78,53.89
57.79,53.9
57.8,53.92
57.81,53.93
57.82,53.95
57.83,53.96
57.84,53.98
57.85,54
57.86,54.01
57.87,54.03
57.88,54.04
57.89,54.06
57.9,54.08
57.91,54.09
57.92,54.11
57.93,54.12
57.94,54.14
57.95,54.15
57.96,54.17
57.97,54.19
57.98,54.2
57.99,54.22
58,54.23
58.01,54.25
58.02,54.27
58.03,54.28
58.04,54.3
58.05,54.31
58.06,54.33
58.07,54.34
58.08,54.36
58.09,54.38
58.1,54.39
58.11,54.41
58.12,54.42
58.13,54.44
58.14,54.45
58.15,54.47
58.16,54.49
58.17,54.5
58.18,54.52
58.19,54.53
58.2,54.55
58.21,54.57
58.22,54.58
58.23,54.6
58.24,54.61
58.25,54.63
58.26,54.64
58.27,54.66
58.28,54.68
58.29,54.69
58.3,54.71
58.31,54.72
58.32,54.74
58.33,54.75
58.34,54.77
58.35,54.79
58.36,54.8
58.37,54.82
58.38,54.83
58.39,54.85
58.4,54.87
58.41,54.88
58.42,54.9
58.43,54.91
58.44,54.93
58.45,54.94
58.46,54.96
58.47,54.98
58.48,54.99
58.49,55.01
